ID,Psychology,Philosophy,Neuroscience,Linguistics,Data_Science,Anthropology
1,8,6,10,7,6,7
2,9,1,10,4,6,5
3,8,5,8,6,6,7
4,6,4,6,3,8,3
5,8,4,7,5,3,7
6,10,8,7,9,7,8
7,10,10,5,3,8,3
8,10,7,8,4,8,6
9,6,4,9,2,9,5
10,9,9,9,7,6,5
11,5,5,9,6,7,8
12,8,5,7,2,9,4
13,8,5,8,3,7,3
14,10,8,10,7,4,7
15,8,10,7,7,7,4
16,6,8,7,5,5,3
17,9,7,8,9,6,8
18,4,8,8,6,7,8
19,6,5,6,5,7,5
20,3,5,8,10,2,8
21,7,5,6,7,9,9
22,4,2,9,3,5,8
23,3,6,8,1,10,2
24,9,7,8,9,10,6
25,8,9,2,6,2,8
26,8,10,3,6,2,5
27,7,4,9,8,10,7
28,9,9,9,9,9,9
29,8,7,8,7,5,7
30,5,8,8,9,4,2
31,8,6,5,8,3,4
32,7,7,6,9,5,8
33,8,10,5,7,8,8
34,9,7,9,8,9,7
35,7,4,9,6,8,5
36,5,4,6,6,10,6
37,6,3,5,3,8,3
38,9,3,10,7,5,8
